,name,gender,origin,meaning
TEPPO,TEPPO,['m'],['Finnish'],Finnish short form of STEPHEN.
TERA,TERA,['f'],['English'],Variant of TARA(1).
TERACH,TERACH,['m'],['Biblical Hebrew'],Hebrew form of TERAH.
TERAH,TERAH,['m'],['Biblical'],"Possibly means ""station"" in Hebrew. In the Old Testament Terah is the father of Abraham. He led his people out of Ur and towards Canaan, but died along the way."
TERANCE,TERANCE,['m'],['English'],Variant of TERENCE.
TERCERO,TERCERO,['m'],['Spanish (Rare)'],"Means ""third"" in Spanish. This name was traditionally given to the third child born."
TERE,TERE,['f'],['Spanish'],Spanish short form of TERESA.
TERELL,TERELL,['m'],['English'],Variant of TERRELL.
TERENCE,TERENCE,['m'],['English'],"From the Roman family name Terentius which is of unknown meaning. Famous bearers include Publius Terentius Afer, a Roman playwright, and Marcus Terentius Varro, a Roman scholar. It was also borne by several early saints. The name was used in Ireland as an Anglicized form of TOIRDHEALBHACH, but it was not in use as an English name until the late 19th century."
TERENTI,TERENTI,['m'],"['Georgian', 'Russian']",Georgian form of Terentius (see TERENCE). It is also a Russian variant transcription of TERENTIY.
TERENTIUS,TERENTIUS,['m'],['Ancient Roman'],Original Latin form of TERENCE.
TERENTIY,TERENTIY,['m'],['Russian'],Russian form of Terentius (see TERENCE).
TERENZIO,TERENZIO,['m'],['Italian'],Italian form of Terentius (see TERENCE).
TERESA,TERESA,['f'],"['Spanish', 'Portuguese', 'Italian', 'Polish', 'Finnish', 'German', 'Swedish', 'Norwegian', 'Danish', 'English']","Cognate of THERESA. Saint Teresa of Ávila was a 16th-century Spanish nun who reformed the Carmelite monasteries and wrote several spiritual books. It was also borne by the beatified Albanian missionary Mother Teresa (1910-1997), who worked with the poor in Calcutta. She adopted the name in honour of the French saint Thérèse de Lisieux, who is the patron of missionaries."
TERESE,TERESE,['f'],"['Basque', 'Swedish', 'Norwegian', 'Danish']",Basque and Scandinavian form of TERESA.
TERESIA,TERESIA,['f'],['Swedish'],Swedish variant of THERESA.
TERESINHA,TERESINHA,['f'],['Portuguese'],Portuguese diminutive of TERESA.
TERESITA,TERESITA,['f'],['Spanish'],Spanish diminutive of TERESA.
TEREZA,TEREZA,['f'],"['Czech', 'Portuguese (Brazilian)', 'Bulgarian', 'Romanian']","Czech, Portuguese, Bulgarian and Romanian form of THERESA."
TEREZIE,TEREZIE,['f'],['Czech'],Czech variant form of THERESA.
TEREZIJA,TEREZIJA,['f'],"['Slovene', 'Croatian']",Slovene and Croatian form of THERESA.
TEREZINHA,TEREZINHA,['f'],['Portuguese (Brazilian)'],Portuguese diminutive of TEREZA.
TERHI,TERHI,['f'],['Finnish'],"Short form of Terhenetär, which was derived from Finnish terhen ""mist"". In the Finnish epic the 'Kalevala' Terhenetär is a sprite associated with mist and forests."
TERHO,TERHO,['m'],['Finnish'],"Means ""acorn"" in Finnish."
TERI,TERI,['f'],['English'],Either a feminine variant of TERRY(1) or a diminutive of THERESA.
TERJE  (1),TERJE  (1),['m'],['Norwegian'],Norwegian variant of TORGEIR.
TERJE  (2),TERJE  (2),['f'],['Estonian'],Estonian form of TERHI.
TERMINUS,TERMINUS,['m'],['Roman Mythology'],"Means ""limit, boundary, end"" in Latin. This was the name of the Roman god of boundaries."
TERO,TERO,['m'],['Finnish'],Short form of ANTERO.
TERPSICHORE,TERPSICHORE,['f'],['Greek Mythology'],"Means ""enjoying the dance"" from Greek τερψις(terpsis) ""delight"" and χορος(choros) ""dance"". In Greek mythology she was the goddess of dance and dramatic chorus, one of the nine Muses."
TERRA,TERRA,['f'],['English'],"Variant of TARA(1), perhaps influenced by the Latin word terra meaning ""land, earth""."
TERRANCE,TERRANCE,['m'],['English'],Variant of TERENCE.
TERRELL,TERRELL,['m'],['English'],"From an English surname which was probably derived from the Norman French nickname tirel ""to pull"", referring to a stubborn person. It may sometimes be given in honour of civil rights activist Mary Church Terrell (1863-1954)."
TERRENCE,TERRENCE,['m'],['English'],Variant of TERENCE.
TERRI,TERRI,['f'],['English'],Either a feminine variant of TERRY(1) or a diminutive of THERESA.
TERRIE,TERRIE,['f'],['English'],Either a feminine variant of TERRY(1) or a diminutive of THERESA.
TERRY  (1),TERRY  (1),"['m', 'f']",['English'],"From an English surname which was derived from the medieval name Thierry, a Norman French form of THEODORIC."
TERRY  (2),TERRY  (2),"['m', 'f']",['English'],"Diminutive of TERENCE or THERESA. A famous bearer was Terry Fox (1958-1981), a young man with an artificial leg who attempted to run across Canada to raise money for cancer research. He died of the disease before crossing the country."
